state_date,pif_risk_state,pif_risk_state_source,pif_exposure_score,pif_common_equity_holding_count,nbim_sector_state,nbim_overweight_count,nbim_top3_count,cross_fund_confirmation_count,cross_fund_confirmation_members,model_exposure_target,model_sector_tilt_primary,model_sector_tilt_primary_proxy,model_sector_tilt_primary_weight,model_sector_tilt_source,model_sector_tilt_members,state_signature,state_change_flag,state_change_reason
2018-02-28,unavailable,,,,top3_led,0,3,0,,,Financials,XLF,0.243498000000,nbim_top3,Financials|Industrials|Consumer Staples,unavailable|top3_led|Financials|0|na,1,initial_state
2019-02-14,risk_on,initial,0.00000000,1,top3_led,0,3,0,,1.000000000000,Financials,XLF,0.243498000000,nbim_top3,Financials|Industrials|Consumer Staples,risk_on|top3_led|Financials|0|1.000000000000,1,pif_risk_state|model_exposure_target
2019-02-28,risk_on,initial,0.00000000,1,overweight_led,3,3,0,,1.000000000000,Technology,XLK,0.125912000000,nbim_overweight,Technology|Health Care|Consumer Discretionary,risk_on|overweight_led|Technology|0|1.000000000000,1,nbim_sector_state|model_sector_tilt_primary
2019-05-14,neutral,stable,0.00000000,1,overweight_led,3,3,0,,0.750000000000,Technology,XLK,0.125912000000,nbim_overweight,Technology|Health Care|Consumer Discretionary,neutral|overweight_led|Technology|0|0.750000000000,1,pif_risk_state|model_exposure_target
2019-08-07,risk_on,expanding,1.00000000,2,consensus_led,3,3,1,Technology,1.000000000000,Technology,XLK,0.125912000000,cross_fund_consensus,Technology,risk_on|consensus_led|Technology|1|1.000000000000,1,pif_risk_state|nbim_sector_state|cross_fund_confirmation_count|model_exposure_target
2019-10-22,neutral,stable,0.00000000,2,consensus_led,3,3,1,Consumer Discretionary,0.750000000000,Consumer Discretionary,XLY,0.107636000000,cross_fund_consensus,Consumer Discretionary,neutral|consensus_led|Consumer Discretionary|1|0.750000000000,1,pif_risk_state|model_sector_tilt_primary|model_exposure_target
2020-02-05,neutral,stable,0.10000000,2,consensus_led,3,3,1,Technology,0.750000000000,Technology,XLK,0.125912000000,cross_fund_consensus,Technology,neutral|consensus_led|Technology|1|0.750000000000,1,model_sector_tilt_primary
2020-02-26,neutral,stable,0.10000000,2,consensus_led,1,3,1,Technology,0.750000000000,Technology,XLK,0.145411000000,cross_fund_consensus,Technology,neutral|consensus_led|Technology|1|0.750000000000,0,
2020-05-18,risk_on,expanding,2.20000000,24,consensus_led,1,3,3,Financials|Technology|Industrials,1.000000000000,Financials,XLF,0.235992000000,cross_fund_consensus,Financials|Technology|Industrials,risk_on|consensus_led|Financials|3|1.000000000000,1,pif_risk_state|model_sector_tilt_primary|cross_fund_confirmation_count|model_exposure_target
2020-08-17,risk_off,contracting,1.10000000,13,overweight_led,1,3,0,,0.500000000000,Technology,XLK,0.145411000000,nbim_overweight,Technology,risk_off|overweight_led|Technology|0|0.500000000000,1,pif_risk_state|nbim_sector_state|model_sector_tilt_primary|cross_fund_confirmation_count|model_exposure_target
2020-11-17,risk_off,contracting,0.60000000,7,overweight_led,1,3,0,,0.500000000000,Technology,XLK,0.145411000000,nbim_overweight,Technology,risk_off|overweight_led|Technology|0|0.500000000000,0,
2021-02-26,risk_off,contracting,0.60000000,7,overweight_led,2,3,0,,0.500000000000,Technology,XLK,0.184824000000,nbim_overweight,Technology|Consumer Discretionary,risk_off|overweight_led|Technology|0|0.500000000000,0,
2021-05-18,risk_on,expanding,1.20000000,12,consensus_led,2,3,3,Financials|Technology|Consumer Discretionary,1.000000000000,Financials,XLF,0.202833000000,cross_fund_consensus,Financials|Technology|Consumer Discretionary,risk_on|consensus_led|Financials|3|1.000000000000,1,pif_risk_state|nbim_sector_state|model_sector_tilt_primary|cross_fund_confirmation_count|model_exposure_target
2021-08-17,neutral,stable,0.10000000,12,overweight_led,2,3,0,,0.750000000000,Technology,XLK,0.184824000000,nbim_overweight,Technology|Consumer Discretionary,neutral|overweight_led|Technology|0|0.750000000000,1,pif_risk_state|nbim_sector_state|model_sector_tilt_primary|cross_fund_confirmation_count|model_exposure_target
2022-03-04,neutral,stable,0.10000000,12,consensus_led,5,3,1,Communication Services,0.750000000000,Communication Services,XLC,0.031679000000,cross_fund_consensus,Communication Services,neutral|consensus_led|Communication Services|1|0.750000000000,1,nbim_sector_state|model_sector_tilt_primary|cross_fund_confirmation_count
