state_date,check_name,status,detail
2018-02-28,cross_count_matches_members,pass,count=0 members=
2018-02-28,primary_sector_source_valid,pass,source=nbim_top3 primary=Financials
2018-02-28,exposure_target_mapping,pass,actual= expected=
2019-02-14,cross_count_matches_members,pass,count=0 members=
2019-02-14,primary_sector_source_valid,pass,source=nbim_top3 primary=Financials
2019-02-14,exposure_target_mapping,pass,actual=1.000000000000 expected=1.000000000000
2019-02-28,cross_count_matches_members,pass,count=0 members=
2019-02-28,primary_sector_source_valid,pass,source=nbim_overweight primary=Technology
2019-02-28,exposure_target_mapping,pass,actual=1.000000000000 expected=1.000000000000
2019-05-14,cross_count_matches_members,pass,count=0 members=
2019-05-14,primary_sector_source_valid,pass,source=nbim_overweight primary=Technology
2019-05-14,exposure_target_mapping,pass,actual=0.750000000000 expected=0.750000000000
2019-08-07,cross_count_matches_members,pass,count=1 members=Technology
2019-08-07,primary_sector_source_valid,pass,source=cross_fund_consensus primary=Technology
2019-08-07,exposure_target_mapping,pass,actual=1.000000000000 expected=1.000000000000
2019-10-22,cross_count_matches_members,pass,count=1 members=Consumer Discretionary
2019-10-22,primary_sector_source_valid,pass,source=cross_fund_consensus primary=Consumer Discretionary
2019-10-22,exposure_target_mapping,pass,actual=0.750000000000 expected=0.750000000000
2020-02-05,cross_count_matches_members,pass,count=1 members=Technology
2020-02-05,primary_sector_source_valid,pass,source=cross_fund_consensus primary=Technology
2020-02-05,exposure_target_mapping,pass,actual=0.750000000000 expected=0.750000000000
2020-02-26,cross_count_matches_members,pass,count=1 members=Technology
2020-02-26,primary_sector_source_valid,pass,source=cross_fund_consensus primary=Technology
2020-02-26,exposure_target_mapping,pass,actual=0.750000000000 expected=0.750000000000
2020-05-18,cross_count_matches_members,pass,count=3 members=Financials|Technology|Industrials
2020-05-18,primary_sector_source_valid,pass,source=cross_fund_consensus primary=Financials
2020-05-18,exposure_target_mapping,pass,actual=1.000000000000 expected=1.000000000000
2020-08-17,cross_count_matches_members,pass,count=0 members=
2020-08-17,primary_sector_source_valid,pass,source=nbim_overweight primary=Technology
2020-08-17,exposure_target_mapping,pass,actual=0.500000000000 expected=0.500000000000
2020-11-17,cross_count_matches_members,pass,count=0 members=
2020-11-17,primary_sector_source_valid,pass,source=nbim_overweight primary=Technology
2020-11-17,exposure_target_mapping,pass,actual=0.500000000000 expected=0.500000000000
