fund,signal_family,signal_name,signal_date,effective_trade_date,source_public_date,trade_after_public_flag,sector
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Communication Services
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Consumer Discretionary
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Consumer Staples
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Energy
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Financials
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Health Care
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Industrials
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Materials
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Real Estate
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Technology
NBIM,nbim_industry_concentration,top_sector_concentration,2018-02-27,2018-02-28,2018-02-27,1,Utilities
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Communication Services
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Consumer Discretionary
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Consumer Staples
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Energy
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Financials
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Health Care
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Industrials
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Materials
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Real Estate
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Technology
NBIM,nbim_industry_weight_change,sector_weight_change,2018-02-27,2018-02-28,2018-02-27,1,Utilities
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Communication Services
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Consumer Discretionary
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Consumer Staples
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Energy
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Financials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Health Care
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Industrials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Materials
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Real Estate
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Technology
CROSS_FUND,cross_fund_consensus,sector_confirmation,2019-02-14,2019-02-14,PIF:2019-02-13|NBIM:2018-02-27,1,Utilities
PIF,pif_exposure,visible_sleeve_regime,2019-02-13,2019-02-14,2019-02-13,1,
PIF,pif_sector_proxy,sector_rotation_proxy,2019-02-13,2019-02-14,2019-02-13,1,Communication Services
