cusip,selected_symbol,issuer_name,pif_sector,pif_industry,sector_source,confidence,notes
00507V109,ATVIEUR,ACTIVISION BLIZZARD INC,COMMUNICATION SERVICES,ELECTRONIC GAMING & MULTIMEDIA,manual_delisted_review,medium,Delisted legacy ATVI mapping reviewed from business model.
00724F101,ADBE,ADOBE INC,TECHNOLOGY,SOFTWARE - APPLICATION,alpha_vantage_overview,high,Alpha Vantage overview checked.
007903107,AMD,ADVANCED MICRO DEVICES INC,TECHNOLOGY,SEMICONDUCTORS,manual_symbol_review,high,
009158106,APD,AIR PRODS & CHEMS INC,BASIC MATERIALS,SPECIALTY CHEMICALS,manual_symbol_review,high,
01609W102,BABA,ALIBABA GROUP HLDG LTD,CONSUMER CYCLICAL,INTERNET RETAIL,alpha_vantage_overview,high,Alpha Vantage overview checked.
02079K305,GOOGL,ALPHABET INC,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,manual_symbol_review,high,
023135106,AMZN,AMAZON COM INC,CONSUMER CYCLICAL,INTERNET RETAIL,manual_symbol_review,high,
03027X100,AMT,AMERICAN TOWER CORP NEW,REAL ESTATE,REIT - SPECIALTY,manual_symbol_review,high,
053015103,ADP,AUTOMATIC DATA PROCESSING IN,TECHNOLOGY,SOFTWARE - APPLICATION,alpha_vantage_overview,high,Alpha Vantage overview checked.
053611109,AVY,AVERY DENNISON CORP,BASIC MATERIALS,PACKAGING & CONTAINERS,manual_symbol_review,high,
055622104,BP,BP PLC,ENERGY,OIL & GAS INTEGRATED,manual_symbol_review,high,
058586108,BLDP,BALLARD PWR SYS INC NEW,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,alpha_vantage_overview,high,Alpha Vantage overview checked.
060505104,BAC,BK OF AMERICA CORP,FINANCIAL SERVICES,BANKS - DIVERSIFIED,manual_symbol_review,high,
07725L102,BEIGF,BEIGENE LTD,HEALTHCARE,BIOTECHNOLOGY,manual_issuer_review,medium,Used for both historical BeiGene and current BeOne Medicines naming.
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,FINANCIAL SERVICES,INSURANCE - DIVERSIFIED,manual_symbol_review,high,
09247X101,BLK,BLACKROCK INC,FINANCIAL SERVICES,ASSET MANAGEMENT,manual_symbol_review,high,
093712107,BE,BLOOM ENERGY CORP,INDUSTRIALS,ELECTRICAL EQUIPMENT & PARTS,alpha_vantage_overview,high,Alpha Vantage overview checked.
097023105,BA,BOEING CO,INDUSTRIALS,AEROSPACE & DEFENSE,manual_symbol_review,high,
09857L108,BKNG,BOOKING HLDGS INC,CONSUMER CYCLICAL,TRAVEL SERVICES,manual_symbol_review,high,
11135F101,AVGO,BROADCOM INC,TECHNOLOGY,SEMICONDUCTORS,manual_symbol_review,high,
